"Length of the rod (L)","Length of the rod (L) in meters"
"10.24 cm","0.1024"
"I (mA)","i (mA)","m (g)","m (kg)","g (m/s^2)","F (N)","Uncertainty high","Uncertainty low","Uncertainty σ","iL (mA*m)","F = mg (N)"
4,0.25,0.4,0.0004,9.81,3.924,0.05,0.04,0.045,0.0256,0.003924
4,0.5,1.41,0.00141,9.81,13.8321,0.06,0.05,0.055,0.0512,0.0138321
4,0.75,1.72,0.00172,9.81,16.8732,0.09,0.06,0.075,0.0768,0.0168732
4,1,2.16,0.00216,9.81,21.1896,0.08,0.05,0.065,0.1024,0.0211896
4,1.25,2.32,0.00232,9.81,22.7592,0.1,0.05,0.075,0.128,0.0227592
3.5,0.25,0.4,0.0004,9.81,3.924,0.04,0.1,0.07,0.0256,0.003924
3.5,0.5,0.82,0.00082,9.81,8.0442,0.06,0.1,0.08,0.0512,0.0080442
3.5,0.75,1.21,0.00121,9.81,11.8701,0.11,0.06,0.085,0.0768,0.0118701
3.5,1,1.74,0.00174,9.81,17.0694,0.08,0.06,0.07,0.1024,0.0170694
3.5,1.25,2.15,0.00215,9.81,21.0915,0.1,0.07,0.085,0.128,0.0210915
3,0.25,0.37,0.00037,9.81,3.6297,0.07,0.05,0.06,0.0256,0.0036297
3,0.5,0.63,0.00063,9.81,6.1803,0.06,0.1,0.08,0.0512,0.0061803
3,0.75,1.03,0.00103,9.81,10.1043,0.07,0.05,0.06,0.0768,0.0101043
3,1,1.44,0.00144,9.81,14.1264,0.07,0.06,0.065,0.1024,0.0141264
3,1.25,1.65,0.00165,9.81,16.1865,0.08,0.11,0.095,0.128,0.0161865
2.5,0.25,0.37,0.00037,9.81,3.6297,0.13,0.05,0.09,0.0256,0.0036297
2.5,0.5,0.53,0.00053,9.81,5.1993,0.1,0.11,0.105,0.0512,0.0051993
2.5,0.75,0.91,0.00091,9.81,8.9271,0.09,0.09,0.09,0.0768,0.0089271
2.5,1,1.23,0.00123,9.81,12.0663,0.08,0.1,0.09,0.1024,0.0120663
2.5,1.25,1.55,0.00155,9.81,15.2055,0.09,0.08,0.085,0.128,0.0152055
2,0.25,0.23,0.00023,9.81,2.2563,0.06,0.15,0.105,0.0256,0.0022563
2,0.5,0.44,0.00044,9.81,4.3164,0.07,0.14,0.105,0.0512,0.0043164
2,0.75,0.71,0.00071,9.81,6.9651,0.11,0.14,0.125,0.0768,0.0069651
2,1,0.93,0.00093,9.81,9.1233,0.1,0.16,0.13,0.1024,0.0091233
2,1.25,1.3,0.0013,9.81,12.753,0.16,0.07,0.115,0.128,0.012753
