Angular Position ( deg )	Relative Intensity (  )
0.0	194.63
0.0	194.64
0.0	194.85
0.0	194.66
0.0	194.72
0.0	194.63
0.0	194.56
0.0	194.46
0.0	194.55
0.0	194.70
0.0	194.64
0.1	196.52
0.1	197.03
0.1	197.14
0.1	197.28
0.7	210.20
1.5	232.35
2.3	253.78
3.3	276.20
4.3	305.49
5.7	343.86
7.1	388.43
8.6	438.35
10.3	497.82
12.2	567.79
13.9	636.46
15.4	696.21
16.8	756.53
18.3	815.99
19.4	865.73
20.3	906.92
21.1	943.08
21.4	960.65
21.4	960.77
21.4	961.24
21.4	960.73
21.4	958.55
21.4	958.91
21.4	958.64
21.4	958.31
21.4	958.13
21.4	958.11
21.4	958.15
21.4	958.25
21.4	957.72
21.4	957.64
21.4	957.93
21.4	957.85
21.4	958.36
21.4	959.00
21.4	960.47
21.5	964.50
21.6	975.90
23.3	1056.54
24.4	1106.79
25.5	1160.01
26.5	1210.19
27.8	1272.89
29.3	1345.82
31.1	1427.13
32.9	1524.95
34.7	1611.95
36.5	1698.08
38.1	1776.37
39.8	1861.06
41.7	1944.38
43.4	2019.59
45.5	2104.40
47.4	2180.14
49.6	2268.75
51.5	2338.00
53.2	2397.47
55.0	2460.69
56.3	2506.73
56.5	2516.28
56.6	2516.59
56.6	2516.04
56.6	2516.93
56.6	2517.08
56.6	2517.13
56.6	2516.92
56.6	2517.08
56.6	2516.72
56.6	2516.93
56.6	2516.97
56.6	2517.40
56.6	2516.70
56.6	2516.61
56.6	2515.93
56.6	2515.94
56.6	2515.95
56.6	2518.89
56.6	2520.41
56.6	2520.29
56.8	2526.65
56.8	2521.86
57.6	2541.80
57.8	2546.04
57.7	2534.39
57.7	2542.22
57.8	2543.92
59.5	2576.65
59.7	2579.25
60.0	2589.70
61.1	2609.44
61.7	2624.64
62.8	2645.22
63.8	2671.40
64.6	2688.33
65.6	2704.13
66.6	2722.58
68.0	2745.96
70.0	2759.39
70.8	2777.42
73.1	2799.85
74.4	2805.10
75.8	2805.29
76.7	2806.93
78.4	2804.84
79.9	2797.19
81.4	2785.26
82.5	2772.18
83.5	2758.66
84.8	2745.68
86.0	2729.78
87.0	2710.53
88.3	2686.75
89.7	2660.05
90.5	2631.05
91.9	2595.25
93.4	2560.78
94.4	2523.73
95.9	2481.72
97.5	2430.45
99.7	2352.79
102.4	2254.33
105.3	2140.73
108.4	2012.97
111.0	1895.00
113.1	1798.14
115.3	1697.80
117.6	1574.23
120.0	1465.49
122.7	1346.65
124.9	1238.57
127.2	1136.32
129.5	1024.15
130.9	950.53
131.7	919.87
131.7	918.99
131.7	919.16
131.7	920.92
131.7	921.29
131.7	920.83
131.7	921.36
131.7	921.01
131.7	920.97
131.7	921.12
131.7	921.00
131.7	920.87
131.7	921.30
131.7	920.64
131.7	920.86
131.7	920.45
131.7	919.57
131.7	919.16
132.5	889.43
134.0	819.29
135.8	743.29
137.6	670.38
139.1	610.43
140.3	564.73
140.7	548.57
142.2	502.77
142.0	497.47
142.1	496.11
143.7	451.92
144.3	422.53
144.5	411.71
145.8	377.86
146.5	349.36
147.9	311.57
149.5	266.42
150.9	228.59
152.4	191.70
154.0	158.87
154.2	154.81
156.0	122.49
157.3	102.53
157.4	100.44
