Relative Intensity vs Linear Position, Run #6
Linear Position ( m )	Relative Intensity (  )
0.000	0.08
0.000	0.08
0.000	0.08
0.000	0.07
0.000	0.07
0.000	0.08
0.000	0.08
0.000	0.07
0.000	0.07
0.000	0.08
0.000	0.08
0.000	0.07
0.000	0.07
0.000	0.08
0.000	0.08
0.000	0.08
0.000	0.07
0.000	0.08
0.000	0.08
0.000	0.07
0.000	0.07
0.000	0.07
0.000	0.08
0.000	0.08
0.000	0.07
0.000	0.07
0.000	0.07
0.000	0.08
0.000	0.07
0.000	0.07
0.000	0.08
0.000	0.08
0.000	0.07
0.000	0.07
0.000	0.07
0.000	0.08
0.000	0.07
0.000	0.07
0.000	0.08
0.000	0.08
0.000	0.08
0.000	0.07
0.000	0.07
0.000	0.08
0.000	0.07
0.000	0.07
0.000	0.07
0.000	0.08
0.000	0.08
0.000	0.07
0.000	0.07
0.000	0.07
0.000	0.08
0.000	0.08
0.000	0.07
0.000	0.08
0.000	0.08
0.000	0.08
0.000	0.07
0.000	0.07
-3.990E-5	0.08
-9.975E-5	0.08
-1.197E-4	0.07
-1.596E-4	0.07
-2.793E-4	0.08
-4.389E-4	0.08
-5.985E-4	0.07
-7.780E-4	0.07
-9.576E-4	0.08
-0.001	0.08
-0.001	0.08
-0.002	0.07
-0.002	0.08
-0.002	0.08
-0.003	0.07
-0.003	0.07
-0.003	0.07
-0.004	0.08
-0.004	0.08
-0.005	0.07
-0.006	0.08
-0.006	0.08
-0.007	0.08
-0.007	0.08
-0.008	0.07
-0.009	0.08
-0.009	0.08
-0.010	0.07
-0.010	0.07
-0.011	0.07
-0.011	0.08
-0.011	0.08
-0.012	0.07
-0.012	0.08
-0.012	0.08
-0.013	0.08
-0.013	0.07
-0.013	0.07
-0.013	0.08
-0.013	0.08
-0.013	0.07
-0.013	0.07
-0.013	0.08
-0.013	0.08
-0.013	0.07
-0.013	0.07
-0.013	0.08
-0.013	0.08
-0.013	0.08
-0.013	0.07
-0.013	0.08
-0.013	0.08
-0.013	0.07
-0.013	0.07
-0.013	0.07
-0.013	0.08
-0.013	0.08
-0.013	0.07
-0.013	0.08
-0.013	0.08
-0.013	0.08
-0.013	0.07
-0.013	0.07
-0.013	0.08
-0.013	0.08
-0.013	0.08
-0.013	0.07
-0.014	0.08
-0.014	0.08
-0.014	0.07
-0.014	0.07
-0.014	0.08
-0.015	0.08
-0.015	0.07
-0.015	0.07
-0.016	0.07
-0.016	0.08
-0.016	0.07
-0.016	0.07
-0.017	0.07
-0.017	0.08
-0.018	0.08
-0.018	0.07
-0.019	0.07
-0.019	0.08
-0.019	0.08
-0.020	0.08
-0.020	0.07
-0.020	0.08
-0.021	0.08
-0.021	0.08
-0.021	0.07
-0.022	0.08
-0.022	0.08
-0.022	0.08
-0.023	0.08
-0.023	0.08
-0.023	0.08
-0.024	0.08
-0.024	0.07
-0.024	0.08
-0.024	0.08
-0.025	0.08
-0.025	0.08
-0.025	0.08
-0.026	0.08
-0.026	0.08
-0.026	0.08
-0.026	0.08
-0.026	0.08
-0.026	0.08
-0.026	0.08
-0.026	0.07
-0.026	0.08
-0.026	0.08
-0.026	0.08
-0.026	0.07
-0.026	0.08
-0.026	0.08
-0.026	0.08
-0.026	0.07
-0.026	0.07
-0.026	0.08
-0.026	0.08
-0.026	0.07
-0.026	0.07
-0.026	0.08
-0.026	0.08
-0.026	0.08
-0.026	0.07
-0.026	0.08
-0.026	0.08
-0.026	0.07
-0.026	0.07
-0.026	0.07
-0.026	0.08
-0.026	0.08
-0.026	0.07
-0.026	0.08
-0.026	0.08
-0.026	0.08
-0.026	0.07
-0.027	0.07
-0.027	0.08
-0.027	0.08
-0.027	0.07
-0.027	0.07
-0.028	0.08
-0.028	0.08
-0.028	0.07
-0.028	0.07
-0.028	0.08
-0.029	0.08
-0.029	0.08
-0.029	0.07
-0.030	0.07
-0.030	0.08
-0.030	0.07
-0.031	0.07
-0.031	0.07
-0.031	0.08
-0.032	0.08
-0.032	0.07
-0.032	0.07
-0.033	0.08
-0.033	0.08
-0.033	0.07
-0.034	0.07
-0.034	0.07
-0.034	0.08
-0.035	0.07
-0.035	0.07
-0.035	0.07
-0.036	0.08
-0.036	0.07
-0.036	0.07
-0.037	0.08
-0.037	0.08
-0.037	0.08
-0.038	0.07
-0.038	0.08
-0.038	0.08
-0.038	0.08
-0.038	0.08
-0.038	0.07
-0.038	0.08
-0.038	0.08
-0.038	0.08
-0.038	0.08
-0.038	0.08
-0.038	0.08
-0.038	0.08
-0.038	0.07
-0.038	0.08
-0.038	0.08
-0.038	0.07
-0.038	0.08
-0.038	0.08
-0.038	0.08
-0.038	0.08
-0.038	0.07
-0.038	0.08
-0.038	0.08
-0.038	0.08
-0.038	0.08
-0.038	0.08
-0.038	0.08
-0.038	0.08
-0.038	0.08
-0.038	0.07
-0.038	0.08
-0.038	0.08
-0.039	0.08
-0.039	0.07
-0.039	0.08
-0.039	0.08
-0.039	0.08
-0.039	0.07
-0.039	0.08
-0.039	0.08
-0.040	0.08
-0.040	0.08
-0.040	0.08
-0.040	0.08
